Customer,# Transactions,,,,,,
CUSTOMER 3, 103 ,2010,,,,,
CUSTOMER 4," 26,827 ",2010,,,,,
CUSTOMER 8," 2,211,549 ",2010,,,,,
CUSTOMER 9," 353,685 ",2010,,,,,
CUSTOMER 11," 2,074,955 ",2010,,,,,
CUSTOMER 12," 2,034,905 ",2010,,,,,
CUSTOMER 17," 37,738 ",2010,,,,,
CUSTOMER 18," 1,538,746 ",2010,,,,,
CUSTOMER 21," 34,194 ",2010,,,,,
CUSTOMER 22, -   ,2010,,,,,
CUSTOMER 24, 36 ,2010,,,,,
CUSTOMER 26," 87,252 ",2010,,,,,
CUSTOMER 27, 8 ,2010,,,,,
CUSTOMER 33," 1,377,341 ",2010,,,,,
CUSTOMER 34, 3 ,2010,,,,,
CUSTOMER 40," 2,913 ",2010,,,,,
CUSTOMER 41," 339,322 ",2010,,,,,
CUSTOMER 45," 2,527,336 ",2010,,,,,
CUSTOMER 46," 701,848 ",2010,,,,,
CUSTOMER 48, -   ,2010,,,,,
CUSTOMER 54, 746 ,2010,,,,,
CUSTOMER 55," 5,614,507 ",2010,,,,,
CUSTOMER 56, 100 ,2010,,,,,
CUSTOMER 59," 125,638 ",2010,,,,,
CUSTOMER 60, 15 ,2010,,,,,
CUSTOMER 61," 42,284 ",2010,,,,,
CUSTOMER 69, -   ,2010,,,,,
CUSTOMER 72," 186,333 ",2010,,,,,
CUSTOMER 74," 1,859 ",2010,,,,,
CUSTOMER 83, -   ,2010,,,,,
CUSTOMER 85," 98,005 ",2010,,,,,
CUSTOMER 86, 13 ,2010,,,,,
CUSTOMER 89," 2,510 ",2010,,,,,
CUSTOMER 90, -   ,2010,,,,,
CUSTOMER 92," 22,070 ",2010,,,,,
CUSTOMER 94," 136,469 ",2010,,,,,
CUSTOMER 95," 879,598 ",2010,,,,,
CUSTOMER 96," 153,562 ",2010,,,,,
CUSTOMER 98," 4,183,936 ",2010,,,,,
CUSTOMER 100," 1,746 ",2010,,,,,
CUSTOMER 108," 6,160 ",2010,,,,,
CUSTOMER 112, 1 ,2010,,,,,
CUSTOMER 114, 1 ,2010,,,,,
CUSTOMER 115," 44,866 ",2010,,,,,
CUSTOMER 116, -   ,2010,,,,,
CUSTOMER 117," 180,624 ",2010,,,,,
CUSTOMER 121, -   ,2010,,,,,
CUSTOMER 126," 1,244 ",2010,,,,,
CUSTOMER 127, -   ,2010,,,,,
CUSTOMER 131," 8,991 ",2010,,,,,
CUSTOMER 132, -   ,2010,,,,,
CUSTOMER 133," 5,388 ",2010,,,,,
CUSTOMER 139," 5,005 ",2010,,,,,
CUSTOMER 146, -   ,2010,,,,,
CUSTOMER 149," 1,239 ",2010,,,,,
CUSTOMER 155, -   ,2010,,,,,
CUSTOMER 158, 38 ,2010,,,,,
CUSTOMER 165, 17 ,2010,,,,,
CUSTOMER 172," 2,113,003 ",2010,,,,,
CUSTOMER 180, -   ,2010,,,,,
CUSTOMER 183, -   ,2010,,,,,
CUSTOMER 184," 139,197,247 ",2010,,,,,
CUSTOMER 188," 3,170 ",2010,,,,,
CUSTOMER 194," 9,353 ",2010,,,,,
CUSTOMER 196," 3,383 ",2010,,,,,
CUSTOMER 205, 46 ,2010,,,,,
CUSTOMER 207, -   ,2010,,,,,
CUSTOMER 209, -   ,2010,,,,,
CUSTOMER 214," 2,639,009 ",2010,,,,,
CUSTOMER 217, 234 ,2010,,,,,
CUSTOMER 226," 189,103 ",2010,,,,,
CUSTOMER 227, -   ,2010,,,,,
CUSTOMER 232," 37,832 ",2010,,,,,
CUSTOMER 234, 707 ,2010,,,,,
CUSTOMER 243," 74,904 ",2010,,,,,
CUSTOMER 244," 955,104 ",2010,,,,,
CUSTOMER 247, 30 ,2010,,,,,
CUSTOMER 248," 547,991 ",2010,,,,,
CUSTOMER 251, -   ,2010,,,,,
CUSTOMER 253," 141,826 ",2010,,,,,
CUSTOMER 257," 33,663 ",2010,,,,,
CUSTOMER 258," 2,564 ",2010,,,,,
CUSTOMER 264," 38,024 ",2010,,,,,
CUSTOMER 269," 155,740 ",2010,,,,,
CUSTOMER 270," 62,130 ",2010,,,,,
CUSTOMER 271," 360,960 ",2010,,,,,
CUSTOMER 276," 1,414 ",2010,,,,,
CUSTOMER 277," 1,147,509 ",2010,,,,,
CUSTOMER 284," 138,694,932 ",2010,,,,,
CUSTOMER 286," 96,220 ",2010,,,,,
CUSTOMER 289, -   ,2010,,,,,
CUSTOMER 290," 22,726 ",2010,,,,,
CUSTOMER 294," 181,643 ",2010,,,,,
CUSTOMER 295," 55,830 ",2010,,,,,
CUSTOMER 301, 1 ,2010,,,,,
CUSTOMER 309," 15,355 ",2010,,,,,
CUSTOMER 310," 35,725 ",2010,,,,,
CUSTOMER 311," 50,720 ",2010,,,,,
CUSTOMER 312," 8,614 ",2010,,,,,
CUSTOMER 314, -   ,2010,,,,,
CUSTOMER 314, 1 ,2010,,,,,
CUSTOMER 316, 2 ,2010,,,,,
CUSTOMER 322," 101,211 ",2010,,,,,
CUSTOMER 328," 61,624 ",2010,,,,,
CUSTOMER 338, -   ,2010,,,,,
CUSTOMER 346," 74,870 ",2010,,,,,
CUSTOMER 356," 4,643 ",2010,,,,,
CUSTOMER 360, -   ,2010,,,,,
CUSTOMER 361," 16,072 ",2010,,,,,
CUSTOMER 363," 12,665 ",2010,,,,,
CUSTOMER 364, 118 ,2010,,,,,
CUSTOMER 366, -   ,2010,,,,,
CUSTOMER 367," 1,262 ",2010,,,,,
CUSTOMER 369, -   ,2010,,,,,
CUSTOMER 370, -   ,2010,,,,,
CUSTOMER 372," 521,987 ",2010,,,,,
CUSTOMER 374," 1,212 ",2010,,,,,
CUSTOMER 378," 26,972 ",2010,,,,,
CUSTOMER 382," 182,929 ",2010,,,,,
CUSTOMER 383," 1,286,378 ",2010,,,,,
CUSTOMER 384," 7,729 ",2010,,,,,
CUSTOMER 385, -   ,2010,,,,,
CUSTOMER 387, -   ,2010,,,,,
CUSTOMER 391, 804 ,2010,,,,,
CUSTOMER 394," 397,010 ",2010,,,,,
CUSTOMER 397, -   ,2010,,,,,
CUSTOMER 397, -   ,2010,,,,,
CUSTOMER 399, 4 ,2010,,,,,
CUSTOMER 400," 19,584 ",2010,,,,,
CUSTOMER 402, 244 ,2010,,,,,
CUSTOMER 404," 755,299 ",2010,,,,,
CUSTOMER 409, 3 ,2010,,,,,
CUSTOMER 410," 37,694 ",2010,,,,,
CUSTOMER 411," 16,666 ",2010,,,,,
CUSTOMER 415," 15,070 ",2010,,,,,
CUSTOMER 416," 6,862 ",2010,,,,,
CUSTOMER 423," 10,854 ",2010,,,,,
CUSTOMER 424," 239,189 ",2010,,,,,
CUSTOMER 428, 4 ,2010,,,,,
CUSTOMER 431, 1 ,2010,,,,,
CUSTOMER 434, 19 ,2010,,,,,
CUSTOMER 437, 68 ,2010,,,,,
CUSTOMER 450," 328,236 ",2010,,,,,
CUSTOMER 455," 505,110 ",2010,,,,,
CUSTOMER 457, 811 ,2010,,,,,
CUSTOMER 463, 180 ,2010,,,,,
CUSTOMER 468, 16 ,2010,,,,,
CUSTOMER 471," 413,719 ",2010,,,,,
CUSTOMER 473, 2 ,2010,,,,,
CUSTOMER 474, -   ,2010,,,,,
CUSTOMER 475," 2,661 ",2010,,,,,
CUSTOMER 478, 71 ,2010,,,,,
CUSTOMER 479," 141,436 ",2010,,,,,
CUSTOMER 480," 67,954 ",2010,,,,,
CUSTOMER 482," 5,368 ",2010,,,,,
CUSTOMER 487," 173,187 ",2010,,,,,
CUSTOMER 489, 9 ,2010,,,,,
CUSTOMER 494, -   ,2010,,,,,
CUSTOMER 500," 1,426,218 ",2010,,,,,
CUSTOMER 507, -   ,2010,,,,,
CUSTOMER 514," 58,128 ",2010,,,,,
CUSTOMER 515, -   ,2010,,,,,
CUSTOMER 516," 94,841 ",2010,,,,,
CUSTOMER 526," 1,133,257 ",2010,,,,,
CUSTOMER 533, -   ,2010,,,,,
CUSTOMER 534," 172,209 ",2010,,,,,
CUSTOMER 537, 951 ,2010,,,,,
CUSTOMER 539," 493,549 ",2010,,,,,
CUSTOMER 540," 33,293 ",2010,,,,,
CUSTOMER 542," 37,896 ",2010,,,,,
CUSTOMER 543," 11,958 ",2010,,,,,
CUSTOMER 544, -   ,2010,,,,,
CUSTOMER 547," 25,454 ",2010,,,,,
CUSTOMER 548, 373 ,2010,,,,,
CUSTOMER 548, -   ,2010,,,,,
CUSTOMER 549," 17,128 ",2010,,,,,
CUSTOMER 566," 691,473 ",2010,,,,,
CUSTOMER 568," 101,218 ",2010,,,,,
CUSTOMER 569, 24 ,2010,,,,,
CUSTOMER 572," 557,148 ",2010,,,,,
CUSTOMER 574, 351 ,2010,,,,,
CUSTOMER 575," 42,761 ",2010,,,,,
CUSTOMER 579," 46,705 ",2010,,,,,
CUSTOMER 581," 1,932,152 ",2010,,,,,
CUSTOMER 583," 1,411 ",2010,,,,,
CUSTOMER 586," 590,925 ",2010,,,,,
CUSTOMER 587, 519 ,2010,,,,,
CUSTOMER 589, 4 ,2010,,,,,
CUSTOMER 594, -   ,2010,,,,,
CUSTOMER 599, -   ,2010,,,,,
CUSTOMER 606," 2,777,718 ",2010,,,,,
CUSTOMER 607," 878,754 ",2010,,,,,
CUSTOMER 609, 15 ,2010,,,,,
CUSTOMER 610, -   ,2010,,,,,
CUSTOMER 611, -   ,2010,,,,,
CUSTOMER 612," 2,962 ",2010,,,,,
CUSTOMER 615," 138,014 ",2010,,,,,
CUSTOMER 616, 18 ,2010,,,,,
CUSTOMER 617, 42 ,2010,,,,,
